name,URL,stars,type,rating,pitches,Length,latitude,longitude,id,location,grade,safety,Unnamed: 0
Ironsides,https://www.mountainproject.com/route/111865799/ironsides,1.0,Trad,5.9,1,50,34.03955,-116.18571,111865799,"[""Voice's Crag"", 'Lost Horse Area', 'Joshua Tree National Park', 'California']",9,S,
Chilkoot Sam,https://www.mountainproject.com/route/106332249/chilkoot-sam,1.0,Trad,5.9+,1,60,34.01998,-116.18453,106332249,"['Super Heros Wall', 'Lost Horse Area', 'Joshua Tree National Park', 'California']",9,S,
The Jackson Five,https://www.mountainproject.com/route/106050770/the-jackson-five,1.0,TR,5.9,1,30,34.02562,-116.16379,106050770,"['Jackson Cracks', 'The Outback', 'Joshua Tree National Park', 'California']",9,S,
Top 40 To Middle Toilet,https://www.mountainproject.com/route/105859670/top-40-to-middle-toilet,1.0,Trad,5.9-,1,80,34.0272,-116.153,10585967040,"['SW Face Left (Trespassers Wall)', 'Little Hunk - SW Face', 'Little Hunk', 'Echo Rock Area', 'Joshua Tree National Park', 'California']",9,S,
Stardust Memories,https://www.mountainproject.com/route/105723223/stardust-memories,1.0,Trad,5.9,1,70,34.05385,-116.1762,105723223,"['Cool Dome', 'North Wonderland Approach', 'Wonderland North', 'Wonderland of Rocks', 'Joshua Tree National Park', 'California']",9,S,
Flower Power,https://www.mountainproject.com/route/105725734/flower-power,1.0,Trad,5.9,1,40,34.0277,-116.1531,105725734,"['Little Hunk - NE Face (Right)', 'Little Hunk - NE Face', 'Little Hunk', 'Echo Rock Area', 'Joshua Tree National Park', 'California']",9,S,
Enter at Your Own Risk,https://www.mountainproject.com/route/105723439/enter-at-your-own-risk,1.0,Sport,5.9,1,40,34.00279,-116.13468,105723439,"['Cavern Rock', 'Cave Corridor Area', 'Sheep Pass Area', 'Joshua Tree National Park', 'California']",9,S,
Wuthering Heights,https://www.mountainproject.com/route/105724720/wuthering-heights,1.0,Trad,5.9,1,50,34.02244,-116.06147,105724720,"['Fraggle Rock', 'Desert Queen Mine', 'Joshua Tree National Park', 'California']",9,S,
Joan Jetson,https://www.mountainproject.com/route/105724573/joan-jetson,1.0,Trad,5.9+,1,100,34.0437,-116.14234,105724573,"['Pea Brain', 'East Wonderland Valley', 'Wonderland Valley', 'Wonderland South', 'Wonderland of Rocks', 'Joshua Tree National Park', 'California']",9,S,
Blue Moon,https://www.mountainproject.com/route/105857597/blue-moon,1.0,Trad,5.9,1,30,33.95977,-116.01952,105857597,"['Pinhead Boulder', 'Stirrup Tank', 'Joshua Tree National Park', 'California']",9,S,
Little Old Lady,https://www.mountainproject.com/route/115350854/little-old-lady,1.0,Trad,5.9,1,50,34.01661,-116.16386,115350854,"['The Old Woman - West Face', 'The Old Woman', 'Hidden Valley Campground', 'Joshua Tree National Park', 'California']",9,S,
Blackheads,https://www.mountainproject.com/route/116844829/blackheads,1.0,Trad,5.9 PG13,1,45,34.02795,-116.17773,116844829,"['Ken Black Memorial Dome', 'Lost Horse Area', 'Joshua Tree National Park', 'California']",9,PG13,
Stand Or Fall,https://www.mountainproject.com/route/117991632/stand-or-fall,1.0,TR,5.9+,1,60,34.02934,-116.14453,117991632,"['No Falls Wall', 'Barker Dam Area', 'Joshua Tree National Park', 'California']",9,S,
Fusion Punk,https://www.mountainproject.com/route/114097026/fusion-punk,1.0,Trad,5.9+,1,50,34.0286,-116.1829,114097026,"[""Mel's Diner"", 'Lost Horse Area', 'Joshua Tree National Park', 'California']",9,S,
"She Is Helga, I Am Sven",https://www.mountainproject.com/route/107257603/she-is-helga-i-am-sven,1.0,Trad,5.9 PG13,1,50,34.0924,-116.1569,107257603,"[""King Otto's Castle"", 'Indian Cove Campground', 'Indian Cove', 'Joshua Tree National Park', 'California']",9,PG13,
An Erection Lasting Longer Than 4 Hours,https://www.mountainproject.com/route/106786236/an-erection-lasting-longer-than-4-hours,1.0,Sport,5.9,1,40,34.11765,-116.10929,1067862364,"['Parking Lot Rocks', 'Forty Nine Palms Oasis Area', 'Joshua Tree National Park', 'California']",9,S,
Apple Mary,https://www.mountainproject.com/route/110108880/apple-mary,1.0,TR,5.9,1,100,34.01491,-116.14407,110108880,"['Mary Worth Buttress', 'Comic Book Area', 'Joshua Tree National Park', 'California']",9,S,
Dogman,https://www.mountainproject.com/route/108271930/dogman,1.0,Sport,5.9,1,40,34.10114,-116.13393,108271930,"['Portlandia', 'Northeast Hills', 'Indian Cove', 'Joshua Tree National Park', 'California']",9,S,
