id,name,type,rating,stars,starVotes,pitches,location,longitude,latitude,safety,grade
105725428,Lewd and Lascivious Conduct,Trad,5.10c R,3.1,73,1,"['California', 'Joshua Tree National Park', 'Lost Horse Area', 'Rock Garden Valley', 'Rock Garden Valley - Left Side']",-116.1777,34.0215,R,10
105724579,Bacon Flake,"Trad, TR",5.8,3.2,71,1,"['California', 'Joshua Tree National Park', 'Echo Rock Area', 'Echo Cove', 'Echo Cove - South Face']",-116.1582,34.0242,S,8
105722500,Classic Corner,Trad,5.7,3.4,66,1,"['California', 'Joshua Tree National Park', 'Lost Horse Area', 'Cockroach Crag']",-116.1762,34.0132,S,7
105723241,Beginner's Two,Trad,5.5,2.6,97,1,"['California', 'Joshua Tree National Park', 'Hidden Valley Campground', 'The Blob', 'The Blob - West Face']",-116.1643,34.018,S,5
105721777,Toe Jam Express,Trad,5.3,2.7,93,1,"['California', 'Joshua Tree National Park', 'Indian Cove', 'Indian Cove Campground', 'Short Wall', 'Short Wall - Right Side']",-116.1532,34.0926,S,3
105807135,Walkway,Trad,5.4 PG13,2.7,95,1,"['California', 'Joshua Tree National Park', 'Quail Springs Area', 'Trashcan Rock', 'Trashcan Rock - West Face']",-116.1974,34.0403,PG13,4
105725209,Betty Jo Yablonksi,Boulder,5.10a V0 R,4.6,41,,"['California', 'Joshua Tree National Park', 'Joshua Tree Bouldering*', 'Real Hidden Valley Bouldering', 'Real Hidden Valley Circuit', 'Entrance Boulder & Vicinity', 'Betty Jo Rock']",-116.1686,34.0125,R,10
105900396,Big Bob's Big Wedge,"Trad, Boulder",5.12a V5,4.9,36,,"['California', 'Joshua Tree National Park', 'Live Oak Picnic Area', ""Big Bob's Big Wedge""]",-116.0514,33.9997,S,12
105844763,Taurus,Trad,5.7,3.1,71,1,"['California', 'Joshua Tree National Park', 'Lost Horse Area', 'Atlantis Area', 'Atlantis Wall', 'Atlantis Wall - Right']",-116.1802,34.0189,S,7
105721882,Pet or Meat,Sport,5.10d,3.7,59,1,"['California', 'Joshua Tree National Park', 'Indian Cove', 'Indian Cove Campground', 'Feudal Wall', 'Feudal Wall (Right Side)']",-116.1534,34.0931,S,10
105722323,Serpent Scales,Sport,5.6,3.2,69,1,"['California', 'Joshua Tree National Park', 'Indian Cove', 'Indian Cove Campground', 'Indian Palisades Corridor']",-116.1544,34.0937,S,6
106075137,Perfect Fingers,Trad,5.10-,4.6,41,1,"['California', 'Joshua Tree National Park', 'Queen Mountain', ""Walt's Rocks"", ""Lower Walt's Rocks""]",-116.1026,34.0589,S,10
105721699,Driving Limitations,Trad,5.8-,2.6,95,1,"['California', 'Joshua Tree National Park', 'Indian Cove', 'Indian Cove Campground', 'Billboard Buttress']",-116.1561,34.0935,S,8
105787739,Rainy Day Women,Trad,5.7,2.6,86,1,"['California', 'Joshua Tree National Park', 'Lost Horse Area', 'Mindless Mound']",-116.1778,34.0261,S,7
105724690,Rollercoaster,Sport,5.11b,4.2,48,1,"['California', 'Joshua Tree National Park', 'The Outback', 'Rollerball Formation']",-116.1651,34.0227,S,11
105722512,Eschar,Trad,5.4,2.6,117,1,"['California', 'Joshua Tree National Park', 'Quail Springs Area', 'Trashcan Rock', 'Trashcan Rock - West Face']",-116.1974,34.0403,S,4
105722605,Captain Kronos,Trad,5.9 R,3.3,66,1,"['California', 'Joshua Tree National Park', 'Real Hidden Valley', 'The Brown Wall']",-116.1722,34.0168,R,9
105796868,Surrealistic Pillar,Trad,5.10b/c,4,51,1,"['California', 'Joshua Tree National Park', 'Hidden Valley Campground', 'The Blob', 'The Blob - East Face']",-116.1641,34.0184,S,10
