Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Ben's Magic Weenie","Mistaken Rock > The Middle Kingdom > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/119056678/bens-magic-weenie,2.0,-1,Trad,5.10b,1,50,34.06358,-116.1733
"Bedtime For Democracy","Cool Dome > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723220/bedtime-for-democracy,2.3,-1,Trad,5.10b,1,80,34.05385,-116.1762
"Rickets And Scurvy","Cool Dome > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107114351/rickets-and-scurvy,0.0,-1,Trad,5.10b,1,80,34.05385,-116.1762
"El Smear or Land","Ellsmere Island > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725662/el-smear-or-land,0.7,-1,Trad,5.10b,1,30,34.05623,-116.17811
Unknown,"Key's Point > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107911842/unknown,2.0,-1,Trad,5.10-,1,25,34.05296,-116.17629
"Puss Boy","Key's Point > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106160621/puss-boy,1.3,-1,Trad,5.10-,1,40,34.05296,-116.17629
Fage,"Key's Point > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/110528705/fage,2.0,-1,Trad,5.10a/b,1,70,34.05296,-116.17629
"The Key Crack","Key's Point > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723370/the-key-crack,1.3,-1,Trad,5.10b,1,70,34.05296,-116.17629
"Thompson's Acne","Reggie Dome > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106397292/thompsons-acne,1.8,-1,Trad,"5.10b R",1,90,34.04045,-116.17781
"Horseshoe Canyon Ranch","Reggie Dome > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/111100428/horseshoe-canyon-ranch,2.0,-1,Sport,5.10,1,50,34.04045,-116.17781
"Burst the Bubble","Financial Wall > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724756/burst-the-bubble,1.0,-1,Trad,5.10b/c,1,70,34.04971,-116.17459
"Too Secret to Find","Hidden Dome > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105814427/too-secret-to-find,3.3,-1,Trad,5.10b,1,80,34.05425,-116.17459
Fantastique!,"Mustang Ranch > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/116496870/fantastique,2.5,-1,Sport,5.10-,1,45,34.0519,-116.18153
"Mary Ann or Ginger?","Ginger's Face > Gilligan's Island > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106398203/mary-ann-or-ginger,0.3,-1,TR,5.10b,1,90,34.05701,-116.17837
Roam,"B-52 Rock > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107456594/roam,1.0,-1,Trad,5.10b,1,40,34.03906,-116.17736
"Through the Looking Glass","The Looking Glass > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106071841/through-the-looking-glass,1.0,-1,Trad,5.10-,1,80,34.05296,-116.17629
"Bone on Bone","The Looking Glass > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106072937/bone-on-bone,-1.0,-1,Trad,"5.10 PG13",1,35,34.05296,-116.17629
"Pain is an Emotion","The Looking Glass > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106073082/pain-is-an-emotion,1.0,-1,Trad,5.10,1,45,34.05296,-116.17629
Mygraines,"Patch Dome > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/118615459/mygraines,2.0,-1,Sport,5.10,1,40,34.05296,-116.17629
"Way Cool","Unreported Rock > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107024839/way-cool,2.6,-1,Sport,5.10-,1,60,34.05296,-116.17629
"Point Break","Unreported Rock > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107024881/point-break,1.8,-1,Sport,5.10b/c,1,50,34.05296,-116.17629
"Nonprofit Crack","Grinch Rock > Atom Smasher Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724465/nonprofit-crack,1.0,-1,Trad,5.10b,1,40,34.07042,-116.16024
"Knee Knockers","Atom Smasher Boulders > Atom Smasher Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/110099938/knee-knockers,1.0,-1,TR,5.10b,1,35,34.07259,-116.16087
Offshoot,"Timbuktu Towers > Atom Smasher Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107105188/offshoot,2.7,-1,Trad,5.10b,1,60,34.07365,-116.16043
"Nuclear Waste","Timbuktu Towers > Atom Smasher Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107124668/nuclear-waste,1.7,-1,Trad,5.10b,1,30,34.07365,-116.16043
"Time Out","The Dunce Cap > Willow Hole Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105810101/time-out,2.0,-1,Trad,5.10b,1,150,34.06769,-116.14277
"Lion's Share","The Super Block > Willow Hole Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105817095/lions-share,2.0,-1,Sport,5.10a/b,1,60,34.07259,-116.15305
Cole-Lewis,"The Super Dome > Willow Hole Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107187786/cole-lewis,2.0,-1,Trad,"5.10b R",4,400,34.07296,-116.15346
"New Hampshire, Naturally","The Fortress > Grey Giant Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105892093/new-hampshire-naturally,0.8,-1,Trad,5.10a/b,1,140,34.06345,-116.14818
"Rope Drag","The Fortress > Grey Giant Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107099091/rope-drag,1.0,-1,Trad,"5.10b R",1,100,34.06345,-116.14818
"See Mop Who","Lazy Dome > Grey Giant Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106750248/see-mop-who,3.0,-1,Sport,5.10-,1,70,34.06313,-116.15402
"Squid Of My Desire","Worth Bagley Memorial Dome > Near East > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725056/squid-of-my-desire,0.0,-1,Trad,5.10a/b,1,40,34.03791,-116.13528
"Worth Bagley Dihedral","Worth Bagley Memorial Dome > Near East > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723991/worth-bagley-dihedral,1.0,-1,Trad,5.10b,1,40,34.03791,-116.13528
"Poodle Boy","Hook and Ladder Area > Near East > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107105217/poodle-boy,3.0,-1,Trad,5.10b,1,60,34.03996,-116.13535
"Eastern Blockhead","Flexible Rock > Near East > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106783961/eastern-blockhead,-1.0,-1,Sport,5.10b,1,50,34.03698,-116.13521
"Frank's Wild Years","Trifling Rock (West Face - Middle Section) > Trifling Rock > Near East > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/108662110/franks-wild-years,1.5,-1,Trad,5.10a/b,1,60,34.0349,-116.13659
