Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"New Day Yesterday","The Flying Fortress > Grey Giant Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107098757/new-day-yesterday,1.5,-1,Trad,5.10a,1,100,34.06487,-116.14877
"42N8 One","The Flying Fortress > Grey Giant Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107098765/42n8-one,1.5,-1,Trad,5.10a,1,100,34.06487,-116.14877
"Thumbs Up","The Flying Fortress > Grey Giant Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107099083/thumbs-up,1.0,-1,Trad,5.10a,1,100,34.06487,-116.14877
Sublimation,"The Fortress > Grey Giant Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107098732/sublimation,1.0,-1,Trad,5.10a,2,250,34.06345,-116.14818
"The Man Who Cried (AKA Julius Seizure)","The Fortress > Grey Giant Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/111309445/the-man-who-cried-aka-julius-seizure,3.0,-1,Trad,5.10a,1,180,34.06345,-116.14818
"Old Man Down the Road, The","The Fortress > Grey Giant Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107099075/old-man-down-the-road-the,1.0,-1,Trad,5.10a,1,100,34.06345,-116.14818
"Tower of Godliness - Original Route","The Fortress > Grey Giant Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/111368942/tower-of-godliness-original-route,2.0,-1,Trad,5.10a,2,130,34.06345,-116.14818
"New Hampshire, Naturally","The Fortress > Grey Giant Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105892093/new-hampshire-naturally,0.8,-1,Trad,5.10a/b,1,140,34.06345,-116.14818
"See Mop Who","Lazy Dome > Grey Giant Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106750248/see-mop-who,3.0,-1,Sport,5.10-,1,70,34.06313,-116.15402
"Squid Of My Desire","Worth Bagley Memorial Dome > Near East > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725056/squid-of-my-desire,0.0,-1,Trad,5.10a/b,1,40,34.03791,-116.13528
"Frank's Wild Years","Trifling Rock (West Face - Middle Section) > Trifling Rock > Near East > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/108662110/franks-wild-years,1.5,-1,Trad,5.10a/b,1,60,34.0349,-116.13659
"There Goes the Bride","The Wedding Block > Near East > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/114027946/there-goes-the-bride,1.0,-1,Sport,5.10a,1,40,34.03667,-116.13553
"Camo Corner","The Cornerstone > Far East > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724396/camo-corner,1.0,-1,Trad,5.10-,1,30,34.05266,-116.13742
Defoliation,"Poodle Smasher Area > Far East > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107103122/defoliation,1.0,-1,Trad,5.10a,1,50,34.05275,-116.13866
"Love Goat, The","Bighorn Dome > Far East > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107132069/love-goat-the,2.2,-1,Trad,5.10a,1,100,34.04798,-116.13913
